"James Harden_HOU","Giannis Antetokounmpo_MIL","Russell Westbrook_OKC","DeMarcus Cousins_NO","Anthony Davis_NO","Victor Oladipo_IND","Damian Lillard_POR","Nikola Vucevic_ORL","Chris Paul_HOU","Kyle Lowry_TOR","DeMar DeRozan_TOR","Kyrie Irving_BOS","Aaron Gordon_ORL","Nikola Jokic_DEN","John Wall_WAS","Devin Booker_PHO","Blake Griffin_LAC","Paul George_OKC","Lou Williams_LAC","Bradley Beal_WAS","Marc Gasol_MEM","Dwight Howard_CHA","Kemba Walker_CHA","Hassan Whiteside_MIA","DeAndre Jordan_LAC","Tyreke Evans_MEM","Elfrid Payton_ORL","Jrue Holiday_NO","Al Horford_BOS","Donovan Mitchell_UTA","Will Barton_DEN","Otto Porter_WAS","Jusuf Nurkic_POR","Khris Middleton_MIL","Eric Bledsoe_MIL","TJ Warren_PHO","Clint Capela_HOU","CJ McCollum_POR","Rudy Gobert_UTA","Paul Millsap_DEN","Carmelo Anthony_OKC","Steven Adams_OKC","Jonathon Simmons_ORL","Gary Harris_DEN","Kris Dunn_CHI","Myles Turner_IND","Mike Conley_MEM","Rajon Rondo_NO","Goran Dragic_MIA","Jayson Tatum_BOS","Evan Fournier_ORL","Nicolas Batum_CHA","Jaylen Brown_BOS","Thaddeus Young_IND","Austin Rivers_LAC","Darren Collison_IND","Danilo Gallinari_LAC","Serge Ibaka_TOR","James Johnson_MIA","Derrick Favors_UTA","Rodney Hood_UTA","Marcus Smart_BOS","Jeremy Lamb_CHA","Kelly Olynyk_MIA","Domantas Sabonis_IND","Dion Waiters_MIA","Jamal Murray_DEN","Lauri Markkanen_CHI","Nikola Mirotic_CHI","Jabari Parker_MIL","Alec Burks_UTA","Kenneth Faried_DEN","Ricky Rubio_UTA","Joe Ingles_UTA","Marcin Gortat_WAS","Justin Holiday_CHI","Marvin Williams_CHA","Trevor Ariza_HOU","Eric Gordon_HOU","Greg Monroe_PHO","Markieff Morris_WAS","Al-Farouq Aminu_POR","E'Twaun Moore_NO","Terry Rozier_BOS","Robin Lopez_CHI","Zach LaVine_CHI","Bobby Portis_CHI","Bojan Bogdanovic_IND","Jonas Valanciunas_TOR","Malcolm Brogdon_MIL","John Henson_MIL","Marcus Morris_BOS","Wilson Chandler_DEN","Denzel Valentine_CHI","Kelly Oubre_WAS","Josh Richardson_MIA","Tyler Johnson_MIA","Mason Plumlee_DEN","Trey Lyles_DEN","Alex Len_PHO","Tyson Chandler_PHO","JaMychal Green_MEM","Michael Kidd-Gilchrist_CHA","Mike James_PHO","DJ Augustin_ORL","Ryan Anderson_HOU","Jerian Grant_CHI","Cory Joseph_IND","Josh Jackson_PHO","Tyler Ulis_PHO","Emmanuel Mudiay_DEN","David Nwaba_CHI","Lance Stephenson_IND","Wesley Johnson_LAC","Mike Scott_WAS","Bam Adebayo_MIA","Marquese Chriss_PHO","Chandler Parsons_MEM","Frank Kaminsky_CHA","Ed Davis_POR","Justise Winslow_MIA","Evan Turner_POR","Aron Baynes_BOS","Thabo Sefolosha_UTA","Milos Teodosic_LAC","Dillon Brooks_MEM","Andre Roberson_OKC","Glenn Robinson III_IND","Fred VanVleet_TOR","Troy Daniels_PHO","CJ Miles_TOR","Mario Hezonja_ORL","Mario Chalmers_MEM","Tomas Satoransky_WAS","Cody Zeller_CHA","Noah Vonleh_POR","Pascal Siakam_TOR","Jakob Poeltl_TOR","Jared Dudley_PHO","Montrezl Harrell_LAC","Arron Afflalo_ORL","Shelvin Mack_ORL","Andrew Harrison_MEM","Meyers Leonard_POR","Tony Snell_MIL","Darius Miller_NO","Dante Cunningham_NO","Daniel Theis_BOS","Jonas Jerebko_UTA","Jerami Grant_OKC","Norman Powell_TOR","Terrence Ross_ORL","Tim Frazier_WAS","Malik Monk_CHA","PJ Tucker_HOU","Michael Carter-Williams_CHA","Wayne Ellington_MIA","Pat Connaughton_POR","Thon Maker_MIL","Malik Beasley_DEN","Semi Ojeleye_BOS","Joe Johnson_UTA","Delon Wright_TOR","OG Anunoby_TOR","Jonathan Isaac_ORL","Sam Dekker_LAC","Wes Iwundu_ORL","Shabazz Napier_POR","Raul Neto_UTA","Patrick Patterson_OKC","Lucas Nogueira_TOR","Dragan Bender_PHO","James Ennis III_MEM","Ben McLemore_MEM","Maurice Harkless_POR","Zach Collins_POR","Jameer Nelson_NO","Juancho Hernangomez_DEN","Paul Zipser_CHI","Al Jefferson_IND","Alex Abrines_OKC","Bismack Biyombo_ORL","Luc Richard Mbah a Moute_HOU","Nene Hilario_HOU","Caleb Swanigan_POR","DeAndre Liggins_MIL","Shane Larkin_BOS","Alan Williams_PHO","Marreese Speights_ORL","Jarell Martin_MEM","Jodie Meeks_WAS","Deyonta Davis_MEM","Ian Mahinmi_WAS","Dwayne Bacon_CHA","Matthew Dellavedova_MIL","Mirza Teletovic_MIL","Ian Clark_NO","Antonio Blakeney_CHI","Raymond Felton_OKC","Sindarius Thornwell_LAC","Tarik Black_HOU","Bobby Brown_HOU","Tony Allen_NO","Torrey Craig_DEN","Richard Jefferson_DEN","Tyler Lydon_DEN","Darrell Arthur_DEN","Monte Morris_DEN","Abdel Nader_BOS","Kadeem Allen_BOS","Guerschon Yabusele_BOS","Gordon Hayward_BOS","Jabari Bird_BOS","Nate Wolters_UTA","Ekpe Udoh_UTA","Tony Bradley_UTA","Dante Exum_UTA","Royce O'Neale_UTA","Eric Griffin_UTA","Cristiano Felicio_CHI","Quincy Pondexter_CHI","Cameron Payne_CHI","Ryan Arcidiacono_CHI","Kay Felder_CHI","Dakari Johnson_OKC","Josh Huestis_OKC","Daniel Hamilton_OKC","PJ Dozier_OKC","Terrance Ferguson_OKC","Nick Collison_OKC","Kyle Singler_OKC","Edmond Sumner_IND","TJ Leaf_IND","Alex Poythress_IND","Ike Anigbogu_IND","Joe Young_IND","Damien Wilkins_IND","Alfonzo McKinnie_TOR","Bruno Caboclo_TOR","Malcolm Miller_TOR","Lorenzo Brown_TOR","Alec Peters_PHO","Danuel House_PHO","Davon Reed_PHO","Brandon Knight_PHO","Jamil Wilson_LAC","Khem Birch_ORL","Adreian Payne_ORL","Jamel Artis_ORL","Patrick Beverley_LAC","Jawun Evans_LAC","Brice Johnson_LAC","CJ Williams_LAC","Willie Reed_LAC","Brandan Wright_MEM","Jason Smith_WAS","Wayne Selden_MEM","Kobi Simmons_MEM","Vince Hunter_MEM","Ivan Rabb_MEM","Devin Robinson_WAS","Chris McCullough_WAS","Mike Young_WAS","Sheldon Mac_WAS","Marcus Paige_CHA","Mangok Mathiang_CHA","Julyan Stone_CHA","Treveon Graham_CHA","Johnny O'Bryant III_CHA","Zhou Qi_HOU","Troy Williams_HOU","Demetrius Jackson_HOU","Chinanu Onuaku_HOU","Briante Weber_HOU","Wade Baldwin IV_POR","CJ Wilcox_POR","Jake Layman_POR","Rodney McGruder_MIA","Matt Williams_MIA","Okaro White_MIA","Derrick Walton_MIA","Jordan Mickey_MIA","AJ Hammons_MIA","Udonis Haslem_MIA","Joel Bolomboy_MIL","DJ Wilson_MIL","Jason Terry_MIL","Sterling Brown_MIL","Rashad Vaughn_MIL","Gary Payton II_MIL","Frank Jackson_NO","Charles Cooke_NO","Solomon Hill_NO","Jalen Jones_NO","Omer Asik_NO","Cheick Diallo_NO","Alexis Ajinca_NO"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52.1145833333333,-30.3958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,-13.0729166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,35.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8854166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.90625,0,27.7291666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61.5625,0,0,0,0,-6.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.625,0,-6.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3125,0,0,0,0,0,0,0,57.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5625,0,0,0,0,0,0,0,0,0,68.03125,0,0,0,0,0,0,-18.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,35.9895833333333,4.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8541666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.9270833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.09375,0,4.67708333333333,0,0,0,0,0,19.1458333333333,-21.7395833333333,0,0,0,0,0,0,0,0,0,0,0,0,-33.9479166666667,0,0,0,0,0,0,0,0,0,0,0,0,27.21875,0,0,0,0,0,0,-0.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-128.208333333333,7.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.4583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.46875,0,34.4479166666667,0,0,0,0,0,-21.7395833333333,115.645833333333,0,0,0,0,0,0,0,0,0,0,0,0,34.2604166666667,0,0,0,0,0,0,0,0,0,0,0,0,23.875,0,0,0,0,0,0,-36.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-115.933333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.066666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.7791666666667,-109.316666666667,0,0,-1.97916666666667,0,0,0,0,42.8083333333333,-67.7625,0,0,0,0,0,0,-25.225,0,0,0,0,0,0,0,0,0,0,0,0,11.0333333333333,0,0,0,0,0,0,0,0,105.541666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-214.609375,0,0,0,0,0,0,0,65.4322916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.1197916666667,0,-1.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4010416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.5572916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5625,0,0,0,0,15.953125,13.921875,-3.34375,29.9583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,29.8125,0,0,0,0,-48.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.578125,0,0,0,0,0,0,0,-1.734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.65625,0,0,0,0,0,0,0,0,12.140625,-4.515625,0,0,0,0,0,0,0,0,0,-10.765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.15625,0,0,0,0,0,0,12.578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-27.2708333333333,0,0,0,0,-6.46354166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88020833333333,0,0,0,0,0,0,0,5.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8020833333333,0,0,0,0,0,0,0,0,-4.515625,4.515625,0,0,0,0,0,0,0,0,0,-4.69270833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26041666666667,0,0,0,0,0,0,-3.09895833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.59375,0,0,0,0,29.4625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.521875,0,0,0,0,0,0,0,7.95625,0,0,0,0,0,0,-14.603125,0,0,0,0,0,0,0,0,0,11.66875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13125,0,-18.371875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,37.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-190.9375,0,0,0,0,-22.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.875,0,-25.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1875,0,0,0,0,0,0,0,170.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,100.9375,0,0,0,0,0,0,0,0,0,200.46875,0,0,0,0,0,0,-54.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.8125,8.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.90625,-9.59375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.875,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20.875,0,-34.875,2,0,0,0,0,0,0,0
0,0,0,-21.9125,42.26875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,-19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1125,0,0,0,0,0,-3.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.53125,0,0
0,0,0,54.3375,-166.3875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.528125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.2,93.89375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.446875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7625,0,0,0,0,0,2.696875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.453125,0,0
0,0,0,0,0,0,0,0,0,0,0,5.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.625,0,0,-96.2708333333333,0,0,0,0,0,0,0,0,-79.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2083333333333,0,0,0,0,0,0,0,-58.6979166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.4375,0,0,0,0,0,0,0,0,0,0,0,0,-5.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.9166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5625,0,37.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.975,0,0,0,0,0,0,0,0,-62.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.9625,0,0,0,0,0,0,0,0,0,0,-11.8125,0,28.90625,-20.428125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.584375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.59375,0,0,0.79375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-77.2083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.7916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.6875,-11.8541666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.6041666666667,0,0,0,0,0,0,0,0,0,0,-20.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14583333333333,11.0833333333333,0,0,0,9.91666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
